"eBay Motors","eBay Auto"
"Data has been sent on Play.com. It is being processed now. You can continue working with M2E Pro.","Les données ont été envoyées sur Play.com. Elles sont en cours de traitement. Vous pouvez continuer à utiliser M2E Pro."
"%s record(s) are used in Listing(s).","Entrées utilisées dans des annonces : %s."
"Template must not be in use to be deleted.","Pour pouvoir être supprimé, le modèle ne doit pas être en cours d'utilisation."
"The global settings have been successfully saved.","Les paramètres généraux ont été enregistrés."
"The license key has been successfully updated.","La clé de licence a été modifiée."
"The license status has been successfully refreshed.","Le statut de la licence a été actualisé."
"The clearing settings has been successfully saved.","Les paramètres d'effacement ont été enregistrés."
"Log for %s has been successfully cleared.","Le journal de %s a été effacé."
"All log for %s has been successfully cleared.","Tous les journaux de %s ont été effacés."
"All help blocks were restored.","Tous les blocs d'aide ont été restaurés."
"Item was not moved","L'objet n'a pas été déplacé"
"Not enough data.","Données insuffisantes."
"The item has not mapped product.","L'objet n'a pas de produit mappé."
"Product was successfully unmapped.","Le produit a été démappé."
"Product already exists in M2E listing(s).","Le produit existe déjà dans des annonces M2E."
"Component Mode or Account ID or Marketplace ID is empty.","Le mode du composant, l'identifiant du compte ou l'identifiant de la place de marché n'est pas renseigné."
"No Other Listings found.","Aucune autre annonce trouvée."
"Please select item(s) to clear.","Veuillez sélectionner les objets à annuler."
"The 3rd party listing(s) log has been successfully cleaned.","Le journal des annonces tierces a été nettoyé."
"The listing(s) log was successfully cleaned.","Le journal des annonces a été nettoyé."
"-- Please select --","-- Effectuez votre sélection --"
"QTY for selected Order(s) was successfully reserved.","La quantité pour les commandes sélectionnées a été réservée."
"QTY for selected Order(s) was not reserved.","La quantité pour les commandes sélectionnées n'a pas été réservée."
"QTY for selected Order(s) was not reserved. Reason: %s","La quantité pour les commandes sélectionnées n'a pas été réservée. Motif : %s"
"QTY reserve for selected Order(s) was successfully canceled.","La quantité réservée pour les commandes sélectionnées a été annulée."
"QTY reserve for selected Order(s) was not canceled.","La quantité réservée pour les commandes sélectionnées n'a pas été annulée."
"QTY reserve for selected Order(s) was not canceled. Reason: %s","La quantité réservée pour les commandes sélectionnées n'a pas été annulée. Motif : %s"
"Order item does not exist.","L'objet de la commande n'existe pas."
"Mapping Product ""%s""","Mappage du produit « %s »"
"Setting Product Options","Définition des options du produit"
"Product does not have required options.","Le produit ne comporte pas les options requises."
"Please specify required options.","Veuillez spécifier les options requises."
"Order item was successfully mapped.","L'objet de la commande a été mappé."
"Order item options were successfully configured.","Les options de l'objet de la commande ont été configurées."
"Item was successfully unmapped.","L'objet a été démappé."
"Shipping Information has been resend for %d order(s).","Les informations de livraison ont été renvoyées pour %d commande(s)."
"Shipping Information was not resend for %d order(s).","Les informations de livraison n'ont pas été renvoyées pour %d commande(s)."
"Order ID is not defined.","Le numéro de la commande n'est pas défini."
"Order with such ID does not exist.","La commande ayant ce numéro n'existe pas."
"Order was successfully deleted.","La commande a été supprimée."
"M2E Pro","M2E Pro"
"You should fill in all required fields.","Vous devez renseigner tous les champs obligatoires."
"Your message has been successfully sent.","Votre message a été envoyé."
"Token is not defined","Le jeton n'est pas défini"
"Account Add Entity failed.","Echec de l'entité Ajout de comptes."
"Unknown Mode ""%s""","Mode « %s » inconnu"
"Account id is not defined","Le numéro de compte n'est pas défini"
"Choose Account","Sélectionner un compte"
"Please confirm account switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de compte. Toutes les données non enregistrées seront perdues."
"
        Fill in the title, choose the Marketplace you want to work with and click the <i>Get Access Data</i> link.
        <br/>You will be redirected to the Amazon website.<br/><br/>
    <b>Note:</b> To be eligible to sell on Amazon sellers must have at least one of the following: a non-individual Selling on Amazon account,
    an Amazon WebStore account, a Checkout by Amazon account, or an Amazon Product Ads account.<br/>
    If you are an individual seller you have to upgrade to a Pro Merchant seller account from the Amazon Services Selling on Amazon page.
        <br/>
        <br/>Sign-in and complete steps of getting access for each marketplace:
        <ul class=""list"">
            <li>Select <i>'I want to use an application to access my Amazon seller account with MWS.'</i></li>
            <li>Fill in Application Name and Application's Developer Account Number, which you can find in the Marketplaces section on the current page.</li>
            <li>Accept the Amazon MWS License Agreement.</li>
            <li>Copy generated Merchant ID and paste it in the corresponding fields of the current page.</li>
        </ul>
        Continue working with 3rd Party Listings and Orders settings tabs.
    ","        Spécifiez le titre, sélectionnez la place de marché à utiliser et cliquez sur le lien <i>Obtenir les données d'accès</i>.        <br/>Vous serez redirigé vers le site Web Amazon.<br/><br/>    <b>Remarque :</b> pour pouvoir vendre sur Amazon, les vendeurs doivent posséder au moins l'un des comptes suivants : un compte professionnel Selling on Amazon, un compte Amazon Webstore, un compte Checkout by Amazon ou un compte Amazon Product Ads.<br/>    Si vous vendez à titre particulier, vous devez procéder à la mise à niveau vers un Compte Vendeur Pro à partir de la page Vendre sur Amazon du portail Amazon Services.        <br/>        <br/>Connectez-vous et suivez les étapes pour accéder à chaque place de marché :        <ul class=""list"">            <li>Sélectionnez <i>Je veux utiliser une application pour accéder à mon compte vendeur Amazon à l'aide de MWS.</i></li>            <li>Saisissez le nom de l'application et le numéro du compte développeur de l'application, disponibles à la section Places de marché de la page active.</li>            <li>Acceptez le contrat de licence Amazon MWS.</li>            <li>Copiez l'identifiant de compte vendeur généré, puis collez-le dans les champs correspondants de la page active.</li>        </ul>        Poursuivez avec la configuration des paramètres des onglets Annonces tierces et Commandes.    "
"Be attentive! By deleting account you delete all information on it from M2E Pro server. This will cause inappropriate work of all accounts' copies.","Attention ! En supprimant un compte, vous supprimez également toutes les informations qui lui sont associées sur le serveur M2E Pro. Cette opération entraînera des problèmes de fonctionnement de toutes les copies du compte."
"The specified title is already used for other account. Account title must be unique.","Le titre spécifié est déjà utilisé pour un autre compte. Le titre du compte doit être unique."
"You must choose marketplace first.","Vous devez d'abord sélectionner une place de marché."
"M2E Pro was not able to get access to the Amazon account. Please, make sure, that you choose correct option on MWS Authorization page and enter correct Merchant ID.","M2E Pro n'a pas pu accéder au compte Amazon. Vérifiez que vous avez sélectionné l'option adéquate sur la page d'autorisation MWS et que vous avez saisi l'identifiant de compte vendeur approprié."
"M2E Pro was not able to get access to the Amazon account. Reason: %s","M2E Pro n'a pas pu accéder au compte Amazon. Motif : %s"
"Title or identifier of Amazon account for your internal use.","Titre ou identifiant du compte Amazon à usage interne."
"Synchronizing Now","Synchronisation en cours"
"Marketplace","Place de marché"
"None Marketplaces","Aucune place de marché"
"You must select and update Amazon marketplaces to get access to this section.","Vous devez sélectionner des places de marché Amazon et les modifier pour pouvoir accéder à cette section."
"Choose Marketplace","Sélectionner une place de marché"
"Application Name","Nom de l'application"
"Developer Account Number","Numéro du compte développeur"
"Get Access Data","Obtenir les données d'accès"
"Merchant ID","Identifiant du vendeur"
"Paste generated Merchant ID from Amazon. (It must look like: A15UFR7CZVW5YA).","Collez l'identifiant de compte vendeur généré à partir d'Amazon. (il se présente sous la forme A15UFR7CZVW5YA)."
