"eBay Motors","eBay Motori"
"Maps Amazon product with Magento product.","Associa il prodotto Amazon al prodotto Magento."
"Attributes Of Mapping Amazon Items To Magento Products","Attributi dell'associazione tra gli oggetti Amazon e Magento"
"Product SKU","Codice prodotto"
"Custom Attribute","Attributo personalizzato"
"Auto Moving Mapped Amazon Items To M2E Listings","Lo spostamento automatico ha associato gli oggetti Amazon alle inserzioni M2E"
"Moving 3rd Party Listings","Spostamento di inserzioni di terze parti"
"This section allows you automatically move mapped Amazon Items in default created M2E Listing and synchronize their Prices and Quantities with Magento values at once they have been moved.","Questa sezione consente di spostare automaticamente oggetti Amazon associati a inserzioni M2E create in modo predefinito e sincronizzare i relativi prezzi e quantità con i valori Magento non appena vengono spostati."
"Move Mapped Amazon Items","Sposta oggetti Amazon associati"
"Automatically moves Amazon Listings from 3rd Party Listings to default created M2E Listing.","Sposta automaticamente le inserzioni Amazon dalle inserzioni di terze parti all'inserzione M2E creata in modo predefinito."
"Immediate Synchronization","Sincronizzazione immediata"
"Price and QTY","Prezzo e quantità"
"Price Only","Solo prezzo"
"QTY Only","Solo quantità"
"Updates Price and / or Quantity of Amazon Listing with Magento values.","Aggiorna il prezzo e/o la quantità dell'inserzione Amazon con i valori di Magento."
"This tab contains settings of Amazon Orders, Amazon Customers import; Magento Orders and Products creation.<br/>
If you set Import Amazon Orders to <i>Yes</i>, a new Amazon order will be imported to the system and can be found in %1$s > Sales > Orders.<br/><br/>
It is possible to allow auto creation of Magento Orders based on imported Amazon Orders for products listed by Other Software.<br/><br/>
<b>Note:</b> The Product Stock QTY only reduces after Magento Order creation.<br/>
These type of orders can be managed as typical Magento Orders in Magento > Sales > Orders.<br/><br/>
<b>Note:</b> To receive orders from Amazon, Order Synchronization must be enabled in %1$s > Configuration > Synchronization.","La scheda contiene le impostazioni degli ordini Amazon, dell'importazione di clienti Amazon, degli ordini Magento e della creazione di prodotti.<br/>Se imposti Importa ordini Amazon su <i>Sì</i>, nel sistema verrà importato un nuovo ordine Amazon che sarà disponibile in %1$s > Vendite > Ordini.<br/><br/>È possibile consentire la creazione automatica di ordini Magento in base agli ordini Amazon importati per i prodotti messi in vendita tramite altri software.<br/><br/><b>Nota:</b> la quantità di scorte dei prodotti viene ridotta solo dopo la creazione di un ordine Magento.<br/>Questi tipi di ordini possono essere gestiti come ordini Magento classici in Magento > Vendite > Ordini.<br/><br/><b>Nota:</b> per ricevere ordini da Amazon, abilita la sincronizzazione degli ordini in %1$s > Configurazione > Sincronizzazione."
"No Customer entry is found for specified ID.","Nessun post cliente individuato per l'ID specificato."
"Import Amazon Orders","Importa ordini Amazon"
"Allows importing orders from Amazon to M2E Pro.","Consente l'importazione di ordini da Amazon a M2E Pro."
"Product Is Listed By M2E Pro","Il prodotto è messo in vendita da M2E Pro"
"Create Order in Magento","Crea ordine in Magento"
"Whether an order has to be created in Magento if a sold product belongs to M2E Pro Listings.","Opzione da selezionare quando un ordine deve essere creato in Magento se un prodotto venduto appartiene alle inserzioni M2E Pro."
"Store View Source","Origine negozio"
"Use Store View from Listing","Utilizza negozio dell'inserzione"
"Choose Store View Manually","Scegli negozio manualmente"
"If Store View must be automatically taken from the listing or manually chosen from available Store View values.","Opzione da selezionare se il negozio deve essere acquisito automaticamente dall'inserzione o scelto manualmente dai valori di negozi disponibili."
"Store in which orders will be placed.","Negozio in cui verranno posizionati gli ordini."
"Product Is Listed By Any Other Software","Prodotto messo in vendita tramite un software diverso"
"Whether an order has to be created in Magento if a sold product does not belong to M2E Pro Listings.","Opzione da selezionare quando un ordine deve essere creato in Magento se un prodotto venduto non appartiene alle inserzioni M2E Pro."
"Product Not Found","Impossibile individuare il prodotto"
"Do Not Create Order","Non creare ordine"
"Create Product and Order","Crea prodotto e ordine"
"What has to be done if a listed product does not exist in Magento.","Azione da effettuare se un prodotto messo in vendita non è disponibile in Magento."
"<b>Note:</b> Only simple products without variations can be created in Magento. If there is a product with variations on Amazon, M2E Pro creates different simple products for each variation.","<b>Nota:</b> in Magento è possibile creare solo prodotti semplici senza varianti. Se su Amazon è presente un prodotto con varianti, in M2E Pro vengono creati più prodotti semplici, uno per ogni variante."
"Product Tax Class","Classe di imposte prodotto"
"Tax Class which will be used for products created by M2E Pro.","La classe di imposte che verrà usata per i prodotti creati da M2E Pro."
"QTY Reservation","Prenotazione quantità"
"Use the Reserve QTY option to prevent the item being sold, before Magento Order created (as the Product Stock QTY only reduces after Magento Order creation). It removes items from Magento Stock at once Amazon Order comes from Amazon.
                Reserve qty will be used when Magento Order is created or released when the term of qty reservation has expired.
                ","Utilizza l'opzione Prenota quantità per evitare che l'oggetto venga venduto prima della creazione di un ordine Magento (dato che la quantità di scorte dei prodotti viene ridotta soltanto dopo la creazione dell'ordine Magento). Rimuove gli oggetti dalle scorte Magento non appena vengono ricevuti da Amazon i relativi ordini. La prenotazione della quantità verrà utilizzata al momento della creazione o dello sblocco dell'ordine Magento quando il termine della prenotazione è scaduto.                "
"Never","Mai"
"For %d day","Per %d giorno"
"For %d days","Per %d giorni"
"For how many days reserve qty has to be kept while Magento Order is not created.","Per quanti giorni è necessario conservare la prenotazione della quantità senza che venga creato un ordine Magento."
"FBA Orders Settings","Impostazioni ordini FBA"
"In this block you can manage stock inventory of products fulfilled by Amazon  (FBA Orders).<br/>
                <ul class=list>

                <li><b>Yes</b> - after Magento Order creation of FBA Order, quantity of product reduces in Magento.</li>
                <li><b>No</b> - Magento Order creation of FBA Order does not affect quantity of Magento product.</li>
                </ul>","In questo blocco puoi gestire il magazzino di prodotti offerto da Amazon (ordini FBA).<br/>                <ul class=list>                <li><b>Sì</b>: dopo la creazione dell'ordine Magento per un ordine FBA, la quantità di prodotto viene ridotta in Magento.</li>                <li><b>No</b>: la creazione dell'ordine Magento per un ordine FBA non incide sulla quantità del prodotto Magento.</li>                </ul>"
"Whether an order has to be created in Magento if a sold product is fulfilled by Amazon.","Se è necessario creare un ordine Magento quando la vendita di un prodotto è effettuata da Amazon."
"Manage Stock","Gestisci scorte"
"If <i>Yes</i>, after Magento Order creation qty of Magento product reduces.","Se <i>Sì</i>, dopo la creazione dell'ordine Magento, la quantità di prodotto Magento viene ridotta."
"Customer Settings","Impostazioni cliente"
"Customers","Clienti"
"There are several ways to specify a customer for which Magento Orders will be created:
                <ul class=""list"">
                    <li><b>Guest Account</b> - the system does not require a customer account to be created. Default Guest Account will be defined as a customer. <br/>
                    <b>Note:</b> The Guest Checkout option must be enabled in Magento. (<i>Yes</i> must be chosen in the Allow Guest Checkout option in Magento > System > Configuration > Sales > Checkout tab). </li>
                    <li><b>Predefined Customer</b> - the system uses one predefined customer for all Amazon orders related to this account. You will be required
                    to provide an ID of the existing Customer, which you can find in Magento > Customers > Manage Customers table.</li>
                    <li><b>Create New</b> - a new customer will be created in Magento, using Amazon customer data of Amazon Order.
                    <br/><b>Note:</b> A unique customer identifier is his e-mail address. If the one already exists among Magento customers e-mails,
                    the system uses this customer as owner of order and links order to him. A new customer will not be created.</li>
                </ul>","Ci sono diversi modi per specificare un cliente per il quale verranno creati degli ordini Magento:                <ul class=""list"">                    <li><b>Account ospite</b>: il sistema non richiede la creazione di un account cliente. Come cliente sarà definito l'account ospite predefinito. <br/>                    <b>Nota:</b> in Magento deve essere abilitata l'opzione Compra come utente non registrato. (Nella scheda Abilita opzione Compra come utente non registrato in Magento > Sistema > Configurazione > Vendite > Pagamento, è necessario selezionare <i>Sì</i>). </li>                    <li><b>Cliente predefinito</b>: il sistema utilizza un cliente predefinito per tutti gli ordini Amazon correlati a questo account. Dovrai fornire un ID del cliente esistente, disponibile in Magento > Clienti > tabella Gestisci clienti.</li>                    <li><b>Crea nuovo</b>: in Magento verrà creato un nuovo cliente utilizzando i dati del cliente Amazon che ha effettuato l'ordine.                    <br/><b>Nota:</b> l'indirizzo e-mail rappresenta un identificatore univoco del cliente. Se questo indirizzo è già presente tra quelli dei clienti Magento, il sistema utilizza questo cliente come proprietario dell'ordine a cui, pertanto, viene collegato. Non verrà creato alcun nuovo cliente.</li>                </ul>"
